Index File Name,Address 1,Address 1 GIMP X Coordinate,Address 1 GIMP Y Coordinate,Address 2,Address 2 GIMP X Coordinate,Address 2 GIMP Y Coordinate,
macomb52Index.pdf,"Weber Rd and Deland Rd, Richland Twp, Macomb County, MI, 48062",1570,2855,"E 10 Mile Rd & Van Dyke AveCenter Line, MI 48015",610,390,
macomb56Index.pdf,"Weber Rd and Deland Rd, Richland Twp, Macomb County, MI, 48062",1469,2758,"E 10 Mile Rd & Van Dyke AveCenter Line, MI 48015",557,416,
macomb49Index.pdf,"Weber Rd and Deland Rd, Richland Twp, Macomb County, MI, 48062",1551,2871,"E 10 Mile Rd & Van Dyke AveCenter Line, MI 48015",580,377,
macomb61Index.pdf,"Weber Rd and Deland Rd, Richland Twp, Macomb County, MI, 48062",1469,2857,"E 10 Mile Rd & Van Dyke AveCenter Line, MI 48015",569,547,
macomb67Index.pdf,"Weber Rd and Deland Rd, Richland Twp, Macomb County, MI, 48062",1539,2753,"E 10 Mile Rd & Van Dyke AveCenter Line, MI 48015",599,337,
macomb97Index.pdf,"Weber Rd and Deland Rd, Richland Twp, Macomb County, MI, 48062",1247,2221,"E 10 Mile Rd & Van Dyke AveCenter Line, MI 48015",516,341,
monroe49Index.pdf,"Gibralter Rd and Olmstead Rd., Flat Rock, Monroe County, MI 48134",1593,2032,"W Sterns Rd & Clark Rd, Whiteford, MI 49267",193,315,
monroe56Index.pdf,"Carleton Rockwood & Armstrong Rd., South Rockwood, Monroe County, MI 48179",412,417,"W Sterns Rd & Clark Rd, Whiteford, MI 49267",49,73,viewed through 600 px resolutionin GIMP
monroe61Index.pdf,"Gibralter Rd and Olmstead Rd., Flat Rock, Monroe County, MI 48134",2123,2388,"W Sterns Rd & Clark Rd, Whiteford, MI 49267",276,585,
monroe81Index.pdf,"Outer Dr. and W. Jefferson, Ecorse, Monroe County, MI 48229",2245,2547,"W Sterns Rd & Clark Rd, Whiteford, MI 49267",135,140,
oakland49Index.pdf,"Secord Lake and McKail Rd. Addison Twp, Oakland County, MI 48367",1702,1775,"9 Mile Rd. & Griswold, Lyon Twp, MI 48178",305,153,
oakland52Index.pdf,"Secord Lake and McKail Rd. Addison Twp, Oakland County, MI 48367",2264,2416,"9 Mile Rd. & Griswold, Lyon Twp, MI 48178",340,183,
oakland56Index.pdf,"Secord Lake and McKail Rd. Addison Twp, Oakland County, MI 48367",1662,1825,"9 Mile Rd. & Griswold, Lyon Twp, MI 48178",243,178,
oakland67Index.pdf,"Secord Lake and McKail Rd. Addison Twp, Oakland County, MI 48367",2175,2395,"9 Mile Rd. & Griswold, Lyon Twp, MI 48178",361,291,
oakland97Index.pdf,"Secord Lake and McKail Rd. Addison Twp, Oakland County, MI 48367",1667,1638,"9 Mile Rd. & Griswold, Lyon Twp, MI 48178",339,97,
stclair49Index.pdf,"St. Clair and Galbraith Line, Worth Township, St. Clair County, MI 48450",1826,3079,"Bordman and McFadden, Berlin Twp, MI 48002",572,1680,
stclair56Index.pdf,"Jeddo and Wildcat Rd., Jeddo, St. Clair County MI 48032",1395,3030,"Bordman and McFadden, Berlin Twp, MI 48002",166,1886,
stclair61Index.pdf,"St. Clair and Galbraith Line, Worth Township, St. Clair County, MI 48450",1546,3005,"Bordman and McFadden, Berlin Twp, MI 48002",1807,1696,
stclair85Index.pdf,"Jeddo and Wildcat Rd., Jeddo, St. Clair County, MI 48032",1566,2937,"Bordman and McFadden, Berlin Twp, MI 48002",281,1741,
WashtenawLenawee49Index.pdf,"7 Mile and Currie Rd., Salem Twp, Washtenaw County, MI 48167",476,477,"Pawson Rd. and Pentacost Hwy, Franklin Twp, MI 49265",33,57,Viewed through 600 px resolution GIMP
WashtenawLenawee56Index.pdf,"7 Mile and Currie Rd., Salem Twp, Washtenaw County, MI 48167",3883,4216,"Burtless and Henzie Rd. Manchester Twp, MI 48158",666,1161,Viewed through 600 px resolution GIMP
WashtenawLenawee61Index.pdf,"7 Mile and Currie Rd., Salem Twp, Washtenaw County, MI 48167",2143,2233,"Burtless and Henzie Rd. Manchester Twp, MI 48158",395,562,
wayne49Index.pdf,"Vernier and Marter Rd. Grosse Point Woods, Wayne County, MI 48236",2170,1883,"Willow Rd. and Haggerty, Sumpter Twp, MI 48164",507,511,
wayne52Index.pdf,"Vernier and Marter Rd. Grosse Point Woods, Wayne County, MI 48236",2587,2183,"Willow Rd. and Haggerty, Sumpter Twp, MI 48164",700,627,
wayne56Index.pdf,"Vernier and Marter Rd. Grosse Point Woods, Wayne County, MI 48236",2215,1974,"Willow Rd. and Haggerty, Sumpter Twp, MI 48164",488,549,
wayne61Index.pdf,"Vernier and Marter Rd. Grosse Point Woods, Wayne County, MI 48236",2226,2055,"Willow Rd. and Haggerty, Sumpter Twp, MI 48164",505,636,
wayne67Index.pdf,"Vernier and Marter Rd. Grosse Point Woods, Wayne County, MI 48236",2168,1989,"Willow Rd. and Haggerty, Sumpter Twp, MI 48164",538,643,
wayne81Index.pdf,"Vernier and Marter Rd. Grosse Point Woods, Wayne County, MI 48236",2605,2219,"Willow Rd. and Haggerty, Sumpter Twp, MI 48164",507,490,
wayne97Index.pdf,"Vernier and Marter Rd. Grosse Point Woods, Wayne County, MI 48236",2149,1729,"Willow Rd. and Haggerty, Sumpter Twp, MI 48164",560,449,
detroit49Index.pdf,"7 mile and Kelly Rd. Detroit, Wayne County, MI 48205",1061,745,"Cherry Hill and Outer Drive, Dearborn, MI 48124",115,221,
detroit52Index.pdf,"7 mile and Kelly Rd. Detroit, Wayne County, MI 48205",1201,861,"Cherry Hill and Outer Drive, Dearborn, MI 48124",129,267,
detroit56Index.pdf,"7 mile and Kelly Rd. Detroit, Wayne County, MI 48205",1141,812,"Cherry Hill and Outer Drive, Dearborn, MI 48124",159,268,
detroit61Index.pdf,"7 mile and Kelly Rd. Detroit, Wayne County, MI 48205",1129,806,"Cherry Hill and Outer Drive, Dearborn, MI 48124",151,264,
detroit67Index.pdf,"7 mile and Kelly Rd. Detroit, Wayne County, MI 48205",1049,763,"Cherry Hill and Outer Drive, Dearborn, MI 48124",123,249,
detroit81Index.pdf,"7 mile and Kelly Rd. Detroit, Wayne County, MI 48205",1313,981,"Cherry Hill and Outer Drive, Dearborn, MI 48124",121,320,
detroit97Index.pdf,"7 mile and Kelly Rd. Detroit, Wayne County, MI 48205",1011,736,"Cherry Hill and Outer Drive, Dearborn, MI 48124",109,235,
LivingstronIngham67Index.pdf,"Bennett Lake Rd and White Lake Rd, Tyrone Twp, Livingston County 48430",1974,1860,"Roepke and Boyce Rd, Lyndon Twp, 48118",970,200,
macomb49Index.pdf,"Weber Rd. and Memphis Ridge Rd., Richmond Twp, Macomb County 48062",1643,2878,"Toepfer and Ryan Rd, Macomb Twp, 48091",411,234,
macomb52Index.pdf,"Weber Rd. and Memphis Ridge Rd., Richmond Twp, Macomb County 48062",1750,2864,"Toepfer and Ryan Rd, Macomb Twp, 48091",444,248,
macomb56Index.pdf,"Weber Rd. and Memphis Ridge Rd., Richmond Twp, Macomb County 48062",1640,2769,"Toepfer and Ryan Rd, Macomb Twp, 48091",400,284,
macomb61Index.pdf,"Weber Rd. and Memphis Ridge Rd., Richmond Twp, Macomb County 48062",1639,2867,"Toepfer and Ryan Rd, Macomb Twp, 48091",413,415,
macomb67Index.pdf,"Weber Rd. and Memphis Ridge Rd., Richmond Twp, Macomb County 48062",1717,2763,"Toepfer and Ryan Rd, Macomb Twp, 48091",436,199,
macomb97Index.pdf,"Weber Rd. and Memphis Ridge Rd., Richmond Twp, Macomb County 48062",1386,2228,"Toepfer and Ryan Rd, Macomb Twp, 48091",389,233,
monroe49Index.pdf,"Armstrong Rd. and Carleton Rockwood Rd. Berlin Twp, Monroe County, 48179",1853,1887,"W Sterns Rd & Clark Rd, Whiteford, MI 49267",194,314,
monroe56Index.pdf,"Armstrong Rd. and Carleton Rockwood Rd. Berlin Twp, Monroe County, 48179",412,417,"W Sterns Rd & Clark Rd, Whiteford, MI 49267",49,73,viewed through 600 px resolutionin GIMP
monroe61Index.pdf,"Armstrong Rd. and Carleton Rockwood Rd. Berlin Twp, Monroe County, 48179",2017,2235,"W Sterns Rd & Clark Rd, Whiteford, MI 49267",277,585,
monroe81Index.pdf,"Allen Rd and Goddard, Southgate, Monroe County 48195",1940,2445,"W Sterns Rd & Clark Rd, Whiteford, MI 49267",135,140,
oakland49Index.pdf,"Secord Lake and McKail Rd. Addison Twp, Oakland County, MI 48367",1702,1776,"9 Mile Rd. & Griswold, Lyon Twp, MI 48178",305,153,
oakland52Index.pdf,"Secord Lake and McKail Rd. Addison Twp, Oakland County, MI 48367",2264,2416,"9 Mile Rd. & Griswold, Lyon Twp, MI 48178",340,182,
oakland56Index.pdf,"Secord Lake and McKail Rd. Addison Twp, Oakland County, MI 48367",1662,1825,"9 Mile Rd. & Griswold, Lyon Twp, MI 48178",242,178,
Oakland67Index.pdf,"Secord Lake and McKail Rd. Addison Twp, Oakland County, MI 48367",2175,2395,"9 Mile Rd. & Griswold, Lyon Twp, MI 48178",361,291,
oakland97Index.pdf,"Secord Lake and McKail Rd. Addison Twp, Oakland County, MI 48367",1666,1638,"9 Mile Rd. & Griswold, Lyon Twp, MI 48178",339,97,
stclair49Index.pdf,"Jeddo and Wildcat Rd., Jeddo, St. Clair County MI 48032",1653,2881,"Bordman and McFadden, Berlin Twp, MI 48002",446,1756,
stclair56Index.pdf,"Jeddo and Wildcat Rd., Jeddo, St. Clair County MI 48032",1395,3030,"Bordman and McFadden, Berlin Twp, MI 48002",166,1887,
stclair61Index.pdf,"Jeddo and Wildcat Rd., Jeddo, St. Clair County MI 48032",1375,2809,"Bordman and McFadden, Berlin Twp, MI 48002",181,1696,
stclair85Index.pdf,"Jeddo and Wildcat Rd., Jeddo, St. Clair County MI 48032",1565,2938,"Bordman and McFadden, Berlin Twp, MI 48002",281,1742,
washtenawlenawee49Index.pdf,"7 Mile and Currie Rd., Salem Twp, Washtenaw County, MI 48167",476,478,"Pawson Rd. and Pentacost Hwy, Franklin Twp, MI 49265",33,57,Viewed through 600 px resolution GIMP
washtenawlenawee56Index.pdf,"7 Mile and Currie Rd., Salem Twp, Washtenaw County, MI 48167",466,506,"Burtless and Henzie Rd. Manchester Twp, MI 48158",80,139,Viewed through 600 px resolution GIMP
washtenawlenawee61Index.pdf,"7 Mile and Currie Rd., Salem Twp, Washtenaw County, MI 48167",2143,2233,"Burtless and Henzie Rd. Manchester Twp, MI 48158",395,572,
wayne49Index.pdf,"Vernier and Marter Rd. Grosse Point Woods, Wayne County, MI 48236",2170,1883,"Willow Rd. and Haggerty, Sumpter Twp, MI 48164",507,511,
wayne52Index.pdf,"Vernier and Marter Rd. Grosse Point Woods, Wayne County, MI 48236",2586,2183,"Willow Rd. and Haggerty, Sumpter Twp, MI 48164",670,626,
wayne56Index.pdf,"Vernier and Marter Rd. Grosse Point Woods, Wayne County, MI 48236",2216,1975,"Willow Rd. and Haggerty, Sumpter Twp, MI 48164",489,549,
wayne61Index.pdf,"Vernier and Marter Rd. Grosse Point Woods, Wayne County, MI 48236",2227,2056,"Willow Rd. and Haggerty, Sumpter Twp, MI 48164",505,636,
wayne67Index.pdf,"Vernier and Marter Rd. Grosse Point Woods, Wayne County, MI 48236",2168,1989,"Willow Rd. and Haggerty, Sumpter Twp, MI 48164",538,644,
wayne81Index.pdf,"Vernier and Marter Rd. Grosse Point Woods, Wayne County, MI 48236",2606,2221,"Willow Rd. and Haggerty, Sumpter Twp, MI 48164",508,490,
wayne97Index.pdf,"Vernier and Marter Rd. Grosse Point Woods, Wayne County, MI 48236",2149,1730,"Willow Rd. and Haggerty, Sumpter Twp, MI 48164",561,421,
detroit49Index.pdf,"7 mile and Kelly Rd. Detroit, Wayne County, MI 48205",1061,745,"Cherry Hill and Outer Drive, Dearborn, MI 48124",115,220,
detroit52Index.pdf,"7 mile and Kelly Rd. Detroit, Wayne County, MI 48205",1202,862,"Cherry Hill and Outer Drive, Dearborn, MI 48124",129,267,
detroit56Index.pdf,"7 mile and Kelly Rd. Detroit, Wayne County, MI 48205",1141,812,"Cherry Hill and Outer Drive, Dearborn, MI 48124",268,160,
detroit61Index.pdf,"7 mile and Kelly Rd. Detroit, Wayne County, MI 48205",1129,806,"Cherry Hill and Outer Drive, Dearborn, MI 48124",151,264,
detroit67Index.pdf,"7 mile and Kelly Rd. Detroit, Wayne County, MI 48205",1050,763,"Cherry Hill and Outer Drive, Dearborn, MI 48124",123,249,
